id	entity	label	right
27959	三菱汽车公司	ni	1
14040	张海涛	ni	0
14276	凡卡	nh	1
10117	袁晓满	nh	1
7217	章丘	ni	0
16743	塔斯社	nh	1
16756	罩内	ni	0
24701	石兆琪	nh	1
6378	路易基	ni	1
18038	黄朴民	ni	0
22459	小克	nh	1
13080	日本新日铁	ni	1
18732	汝山社区	ni	1
26822	德拉诺	ni	1
15774	西门子公司	ni	1
13253	霍尔沃兹	ni	1
21683	东北林业大学	ni	1
31007	白日曦	ni	0
15739	天津女排	ni	1
18302	沃尔隆	ni	1
4459	陈情	ni	0
5223	fopen	ni	0
16925	赫尔曼·施陶丁格	ni	0
21939	浙江理工大学	ni	1
21900	关勒	ni	0
2060	高职	ni	1
9703	陈泽鹏	ni	0
12236	唐言	nh	1
30929	奥尼尔正随队	nh	1
4331	胺基	nh	0
20648	穆迪埃	ni	0
28340	何其芳	ni	0
25237	上海复旦大学	ni	1
25703	昆明滇池路宾利	ni	1
15505	越南饮食	ni	1
18080	克里斯·穆林	nh	1
11680	喀山世锦赛	ni	1
25928	董秋迪	ni	0
7040	美国耶鲁大学	ni	1
9561	巴德	ni	0
5341	迪爽	ni	1
12228	台湾国民政府	ni	1
4337	安塞尔·艾尔高特	nh	0
25932	冯坤	nh	1
5273	贝勒爷	nh	1
20507	美国航天私企	ni	1
11939	卢导游	nh	1
10530	王啸坤	nh	1
21323	伊斯特伍德	nh	1
30799	孙完虎	ni	0
509	雅典娜	ni	0
22926	黄忠先	ni	0
17364	raycasterCubeMesh	ni	0
787	科雷傲	ni	1
17785	周小云	nh	1
18270	北京中环动力公司	ni	1
4153	天津全运会	ni	1
6821	约翰·斯托克顿	nh	1
29153	张之洞路	ni	1
30508	波恩德	ni	0
25379	王翦战	ni	0
15148	里奇·保罗	nh	1
5528	张盛阳	ni	0
27123	文轸	nh	1
21898	中国太平洋人寿保险股份有限公司	ni	1
4062	别克威朗	ni	1
7590	李栋旭	nh	1
27333	辛达	ni	1
19003	麻省理工	nh	0
8770	张惠妹	nh	1
10215	弗耶	ni	0
8727	宝洁公司	ni	1
5180	新瑞虎	ni	1
23830	罗伯特·胡克	ni	0
30718	李善注	nh	1
2167	潘森	ni	0
2477	英国皇家学会	ni	1
19039	中国保险公司	ni	1
24950	布莱恩特空	nh	1
21566	环太平洋大学联盟	ni	1
9443	套刚	ni	0
26110	吕林	nh	1
1977	宁波银行	ni	1
1922	波波维奇	ni	0
30961	塞下曲·鹫翎金仆姑	nh	0
25055	蒙蒂	nh	1
22676	罗伊突	ni	0
12050	国家电网冀北电网公司培训中心	ni	1
30757	库弗斯	nh	1
641	周杰伦	nh	1
1253	凯雷德	ni	1
9164	阳明	ni	1
12268	张/3	nh	0
8639	临平星桥街道藕花洲大街	ni	1
24086	逸动系列	ni	1
9895	湖南大学	ni	1
24174	长城宽带客服	ni	1
17192	北郡骑士	ni	1
22708	上海全景	ni	1
22292	黄酮	ni	1
5803	日本政府	ni	
9958	老秦	ni	
7827	凯正	ni	
12370	中国人民解放军海军游泳队	ni	
16370	罗素大学集团	ni	
23444	安卓微信区	ni	
27472	巴蒂米澜	ni	
21098	田心	nh	
31002	卡秋莎	nh	
17125	余华	ni	
18393	刘铮	ni	
23837	长炜	nh	
23931	享氏	ni	
17075	熊猫徽章	ni	
4962	戴斯蒙	ni	
8893	上海味好美集团	ni	
8234	意大利队	nh	
17191	努曼	ni	
4970	卓火土	ni	
18479	杨瑞龙	ni	
11720	柯震东	nh	
15838	requestLocation	nh	
10823	路南	ni	
28971	阿斯顿维拉队	nh	
28065	威尔德	ni	
8558	伟伦体育公司	ni	
11774	沈夜	ni	
21962	单玻	nh	
26481	西某	nh	
29028	长安马自达网络体系	ni	
7443	梅兰芳	ni	
15574	雪莱特	ni	
6059	郑龙替	ni	
11714	通用电气	ni	
14683	大井小学	ni	
21515	索菲娅王妃艺术中心	ni	
2317	罗伯森	ni	
8160	树人公司	ni	
25215	上海围棋队	ni	
16346	金辰	ni	
28644	北京金山软件公司	ni	
2251	马自达阿特兹	ni	
23727	陈家坪	ni	
27666	上海宏星职校	ni	
28449	宋瑞	ni	
19811	普屏	ni	
4115	杰梅	nh	
20895	广州东风	ni	
31127	孙若微	ni	
12426	万达保理有限公司	nh	
20222	韩滉	nh	
27796	布莱恩特·卫平·张	nh	
27436	爱伦	ni	
21076	董浜	ni	
17155	陶甑	ni	
21928	孔子牌	ni	
27974	左慈陈琳	nh	
30192	佛罕大学	ni	
3187	娜扎黑	nh	
18586	Marina	nh	
2580	博格斯	nh	
21735	齐白石	nh	
9380	黄飞珏	nh	
4319	慕斯	ni	
8512	默林	ni	
22063	武汉一中	nh	
26293	华非	ni	
27099	唐子实	ni	
7364	瀚罗	ni	
4130	沃恩	nh	
24397	聚缩醛	ni	
21837	后水杯托架	nh	
1991	click	ni	
9446	上海新车间创客	ni	
16000	HP公司	ni	
764	保罗	ni	
26547	阿尔巴赛特	ni	
13947	格拉海德	ni	
14559	上海浦东南路八佰伴	ni	
14394	瓦蓝	ni	
5296	Usher队	ni	
28738	蒙奥丁	nh	
10614	胡青	ni	
23156	文晏	nh	
11012	恒大内外援	ni	
6439	阿德巴约	ni	
22096	雪梅·其一	nh	
29251	戴定一	nh	
7710	怀远	ni	
25943	军委炮兵	ni	
15782	周晓文	nh	
6215	莫循	nh	
16322	夏洛特黄蜂	ni	
22374	李云飞	nh	
3260	吉利帝豪	ni	
30684	小乔强	ni	
12605	中国科学院华南植物园	ni	
6677	Advice	nh	
13539	阿鲁鲁	nh	
26204	ORACLE公司	ni	
14401	庄公子妒	nh	
29159	碧中	ni	
18369	方天画斩	ni	
4054	弗洛伊德	ni	
2856	刘老根	ni	
5906	米约拉	nh	
7691	王昌龄	ni	
24246	别克昂科威内饰	ni	
3731	广东欧珀公司	ni	
25269	易录屏	ni	
12353	全国工商联	ni	
2884	兰特	ni	
1104	蓝白	ni	
23285	陈茜茜	ni	
3733	毕梦格林晨	nh	
6192	MasterCard	ni	
3923	1860MHz	ni	
18200	江淮皮卡襄阳服务站襄阳市春园	ni	
19534	赵薇黄晓明	nh	
9130	洛克海默	ni	
28509	孙猴	ni	
16012	小郭	nh	
4702	双麦克	ni	
17633	蒋超	ni	
27284	戴姆勒两公司	ni	
29395	方不去	ni	
30703	约什·史密斯	nh	
15063	侯亮平	ni	
25964	东瀛宝马	ni	
15024	克斯韦	ni	
11007	邢云飞	nh	
859	考辛斯	ni	
11201	巴西弗鲁米嫩塞	ni	
6193	建设银行	ni	
6283	重庆大学	ni	
5454	陶喆	nh	
21452	邹玺嫒	ni	
16625	立方厘米	ni	
1055	玛驰	ni	
10832	晓文	nh	
27195	王比	ni	
21608	华山医院	ni	
6256	陈仓园·家美	ni	
4625	阿泰斯特	nh	
85	小编	ni	
13579	马尚	ni	
29491	徐素慧	nh	
6621	黄黑	ni	
28113	学良	nh	
5666	软格	ni	
25433	联合国安理会	ni	
7333	方硕	ni	
2975	#NAME?	ni	
17202	江晓琪	ni	
1573	巴郎	ni	
17286	麦克·特所	ni	
23198	牛子健	nh	
11271	平原君	ni	
4055	俊凯	ni	
2908	李白露娜	ni	
18293	柏拉图学院	ni	
27046	顾盼生	ni	
6268	楚怀王	nh	
1597	切记	ni	
27478	赵率舟	ni	
29764	西维娅	nh	
15194	桓帝	ni	
11429	刘勰	nh	
19324	赤藓红	ni	
2217	纪梵希	ni	
8621	梅丽尔斯特里普	nh	
16222	丰田威驰车型	ni	
29320	Midori	ni	
30696	蓝格	nh	
8184	美国通用雪弗兰标志	ni	
21569	开普敦大学	ni	
27505	全美公共管理协会	ni	
5583	石达开	ni	
21130	素林·吉达亚蓬潘	ni	
10294	北京市国际邮件处理中心	ni	
24978	郭少	ni	
24737	陆小华	ni	
23951	赵氏	nh	
19933	爱新觉罗	ni	
25179	埃托奥	nh	
8816	北京电影学院艺考	ni	
10736	扎诸纳斯	ni	
10769	article	ni	
18677	木纳	ni	
6048	艾拉脱色尼	ni	
30680	刚(金))埃亚艺电公司	ni	
29854	宁德中学	nh	
6390	中国电视艺术家协会	ni	
19053	布加迪威龙兰博基尼	ni	
3499	杨澜	nh	
25477	瑞智文化传播事业有限公司	nh	
8043	海燕	ni	
22696	麻省理工学院经济学	ni	
16530	乐视系公司	nh	
16330	吉尔伯特	nh	
5405	广州汽车集团股份有限公司	ni	
29685	基德纳	ni	
10257	程少	ni	
14611	海尔森	nh	
2331	戛纳	ni	
59	游泳	ni	
24938	莎拉布莱曼	ni	
21919	金泰亨	nh	
2753	本田缤智	ni	
25224	徐步	nh	
14857	阿伽门农	ni	
2165	李白符文	ni	
7107	单吸	ni	
3349	小6	ni	
24799	美国3M公司	ni	
8260	爱丁堡大学	ni	
21138	美国PhilipMorris公司	ni	
30060	史蒂夫·弗朗西斯	nh	
23803	麦迪>登	ni	
8170	龙武	nh	
18877	龙吟	ni	
2502	除此詹姆斯	ni	
29629	塔戈尔	ni	
830	支教	ni	
13999	钟小年	nh	
12371	田理	nh	
15061	南京财经大学	ni	
2839	罗密欧	ni	
6720	中国女排	ni	
22499	胡葆森	nh	
16715	张芷溪	ni	
10948	小安	ni	
24417	长安医院	ni	
19097	贺兰瑾	ni	
10819	兰佩	nh	
28781	奥迪母公司	ni	
3734	张胜	nh	
9337	丰田兰德酷路泽4600	ni	
1197	法拉利	ni	
10959	黄新	ni	
25291	恒静	ni	
6143	万年野	ni	
19952	格拉斯哥世锦赛	nh	
13919	邹正	nh	
15132	刘太后	nh	
11748	丰田普锐斯	ni	
6704	加隆	ni	
17804	达美乐披萨公司	ni	
19486	梁景晧	nh	
4535	中国物流与采购联合会钢铁物流专业委员会	ni	
12706	张子扬	ni	
19284	米黑	ni	
7658	比尔·盖茨	ni	
7885	华为官方手机	ni	
13233	李恢	nh	
29650	贝德福德大学	ni	
11592	纳兰	nh	
18523	迪生	nh	
23411	中国电信宽带	ni	
30537	东莞辉碧电子广州研发中心	ni	
1766	查克海耶斯	nh	
782	7GHz	ni	
8845	剑走偏锋	nh	
11529	绍熙	nh	
8352	美国Cisco公司	ni	
22613	彼得潘	ni	
8734	中国驾照	ni	
24599	石家庄运河桥客运站	ni	
9389	猎芳	ni	
26063	素双	ni	
10364	中国第一汽车集团公司	ni	
7581	杨延景	nh	
29980	尹毓恪4	nh	
9749	艾莉亚那	ni	
14812	耿学华	ni	
25789	中央文史研究馆	ni	
7775	詹姆期	ni	
18491	芬琳	ni	
2505	林丹	nh	
407	雅阁	ni	
11176	德拉格维奇	ni	
9869	约翰斯顿	nh	
28018	南京奥体中心	ni	
4229	中桥中学	ni	
21257	祥泰电气	ni	
6633	锦厦小学	ni	
19815	郑桂华	nh	
19234	西安外国语学院	ni	
12376	北京中智国华有限公司	ni	
4196	串联	ni	
18590	北京市信鸽协会	ni	
15741	广东恒大	ni	
555	李倓	ni	
19274	湖南长丰集团	ni	
13349	太祖	nh	
16153	周翔宇	nh	
24068	北京润阳国际文化传媒有限公司	ni	
22986	里佛斯	ni	
14954	曹爽	nh	
22848	狄阿波罗	nh	
15332	英国皇家兵工厂	ni	
4934	本田凌派	ni	
10909	西藏龙薇文化传媒有限公司	ni	
5482	骑灵	ni	
9500	项羽虞姬	nh	
1860	redis	ni	
10234	华为麒麟芯片	ni	
28956	苏楠	nh	
23688	addCkeditor	ni	
13240	铁牛集团	ni	
12404	诡术妖姬	ni	
2449	武侠	ni	
22712	Autodesk公司	ni	
30653	丰田双行	ni	
18862	赛嘉	ni	
29845	惠安莲花山中学	ni	
14109	绍特	ni	
17476	德林斯	ni	
22419	翠屏东南	ni	
30654	山东实验室设计公司	ni	
12888	香港圣玛丽医院	ni	
28670	娜扎只	nh	
20325	叶史瓦	ni	
30494	郑文雅	nh	
12241	金南俊	nh	
10106	雷特	ni	
8051	深圳华为	ni	
25416	qemu	ni	
18268	慈德	ni	
6198	宫本消	nh	
23402	高木	nh	
28701	珠海金山公司	ni	
27855	李韺	nh	
13846	麦庐	ni	
12474	莫特	ni	
23116	艾波娜	nh	
3749	phpMyAdmin	ni	
7068	东神	ni	
24829	王仕鹏	ni	
3538	\'	ni	
19147	尤姆	ni	
2237	孙俪	nh	
3912	双杀	nh	
9778	美国录音师协会	ni	
17403	马汉	nh	
22950	国际管理委员会	ni	
30429	钟馗连	ni	
2584	蒂尼·博格斯	nh	
21026	杜泽	ni	
19360	中华人民共和国海关	ni	
5697	嚎嚎	ni	
24385	日产自动车株式会社	ni	
